,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
10,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,26.67000007629394,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,26.67000007629394,26.67000007629394,26.67000007629394,26.659999847412113,26.56999969482422,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
11,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,26.67000007629394,26.659999847412113,26.659999847412113,26.63999938964844,26.67000007629394,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
12,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,26.67000007629394,-9.0,-9.0,26.67000007629394,26.649999618530273,26.67000007629394,26.649999618530273,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
13,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,40.0,-9.0,-9.0,40.0,39.97000122070313,40.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
14,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,40.0,-9.0,-9.0,39.959999084472656,39.99000167846681,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
15,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,40.0,-9.0,26.67000007629394,26.67000007629394,26.67000007629394,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
16,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,26.67000007629394,26.67000007629394,26.659999847412113,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
17,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,26.67000007629394,26.620000839233406,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
18,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,26.67000007629394,26.67000007629394,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,40.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
19,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,26.659999847412113,26.67000007629394,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,40.0,40.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,-9,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
